,Reason1,Reason2,Reason3,Reason4,Month Value,Day of Week,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
192,0,0,0,1,4,3,2016-04-07,118,13,50,326.452,31,0,1,0,1
193,0,0,0,1,4,4,2016-04-08,291,31,40,326.452,25,0,1,1,3
194,1,0,0,0,4,4,2016-04-08,246,25,41,326.452,23,0,0,0,8
195,0,0,0,1,4,4,2016-04-22,291,31,40,326.452,25,0,1,1,1
196,0,0,0,1,4,4,2016-04-29,248,25,47,326.452,32,0,2,1,8
197,0,0,1,0,4,4,2016-04-29,260,50,36,326.452,23,0,4,0,56
198,0,0,1,0,4,1,2016-04-26,289,36,33,326.452,30,0,2,1,8
199,1,0,0,0,4,2,2016-04-27,155,12,34,326.452,25,0,2,0,24
200,0,0,1,0,4,2,2016-04-27,378,49,36,326.452,21,0,2,4,8
201,1,0,0,0,4,3,2016-04-28,289,36,33,326.452,30,0,2,1,16
202,1,0,0,0,4,4,2016-04-08,235,11,37,326.452,29,1,1,1,3
203,0,0,0,0,4,0,2016-04-04,235,29,48,326.452,33,0,1,5,0
204,1,0,0,0,5,2,2016-05-04,289,36,33,378.884,30,0,2,1,8
205,0,0,0,1,5,3,2016-05-05,155,12,34,378.884,25,0,2,0,2
206,0,0,0,1,5,0,2016-05-02,155,12,34,378.884,25,0,2,0,1
207,0,0,1,0,5,1,2016-05-03,179,51,38,378.884,31,0,0,0,8
208,0,0,1,0,5,1,2016-05-03,225,26,28,378.884,24,0,1,2,8
209,1,0,0,0,5,2,2016-05-11,184,42,27,378.884,21,0,0,0,4
210,0,0,0,1,5,0,2016-05-09,155,12,34,378.884,25,0,2,0,2
211,1,0,0,0,5,1,2016-05-10,179,51,38,378.884,31,0,0,0,1
212,1,0,0,0,5,2,2016-05-04,289,36,33,378.884,30,0,2,1,24
213,0,0,0,0,5,2,2016-05-11,279,5,39,378.884,24,0,2,0,0
214,0,0,0,0,5,2,2016-05-18,330,16,28,378.884,25,1,0,0,0
215,0,0,0,0,5,2,2016-05-25,378,49,36,378.884,21,0,2,4,0
216,0,0,0,0,5,2,2016-05-25,388,15,50,378.884,24,0,0,0,0
217,1,0,0,0,5,1,2016-05-24,179,51,38,378.884,31,0,0,0,1
218,1,0,0,0,5,2,2016-05-11,118,13,50,378.884,31,0,1,0,24
219,0,0,0,1,5,4,2016-05-27,361,52,28,378.884,27,0,1,4,8
220,0,0,1,0,6,0,2016-06-06,246,25,41,377.55,23,0,0,0,8
221,0,0,0,1,6,0,2016-06-13,361,52,28,377.55,27,0,1,4,8
222,1,0,0,0,6,1,2016-06-14,246,25,41,377.55,23,0,0,0,24
223,0,0,0,1,6,3,2016-06-16,291,31,40,377.55,25,0,1,1,4
224,1,0,0,0,6,4,2016-06-17,246,25,41,377.55,23,0,0,0,8
225,1,0,0,0,6,0,2016-06-13,179,51,38,377.55,31,0,0,0,8
226,0,0,0,1,6,0,2016-06-20,155,12,34,377.55,25,0,2,0,4
227,1,0,0,0,6,0,2016-06-27,246,25,41,377.55,23,0,0,0,8
228,1,0,0,0,6,2,2016-06-29,118,13,50,377.55,31,0,1,0,8
229,1,0,0,0,6,4,2016-06-03,235,11,37,377.55,29,1,1,1,16
230,0,0,0,1,6,1,2016-06-07,118,13,50,377.55,31,0,1,0,1
231,1,0,0,0,6,2,2016-06-08,118,13,50,377.55,31,0,1,0,80
232,0,0,0,1,6,3,2016-06-09,378,49,36,377.55,21,0,2,4,8
233,1,0,0,0,6,4,2016-06-10,179,51,38,377.55,31,0,0,0,2
234,0,0,0,1,6,0,2016-06-20,289,48,49,377.55,36,0,0,2,2
235,0,0,0,1,6,3,2016-06-30,225,26,28,377.55,24,0,1,2,2
236,0,0,1,0,7,1,2016-07-05,155,12,34,275.312,25,0,2,0,16
237,1,0,0,0,7,2,2016-07-06,118,13,50,275.312,31,0,1,0,8
238,1,0,0,0,7,4,2016-07-08,118,10,37,275.312,28,0,0,0,8
239,0,0,0,1,7,4,2016-07-08,118,10,37,275.312,28,0,0,0,4
240,0,0,0,1,7,1,2016-07-12,330,16,28,275.312,25,1,0,0,8
241,0,0,1,0,7,3,2016-07-14,179,26,30,275.312,19,1,0,0,8
242,0,0,0,1,7,4,2016-07-15,155,12,34,275.312,25,0,2,0,2
243,1,0,0,0,7,0,2016-07-18,330,16,28,275.312,25,1,0,0,8
244,1,0,0,0,7,1,2016-07-19,330,16,28,275.312,25,1,0,0,8
245,0,0,0,1,7,0,2016-07-18,157,27,29,275.312,22,0,0,0,3
246,0,0,0,1,7,1,2016-07-19,361,52,28,275.312,27,0,1,4,8
247,0,0,0,1,7,2,2016-07-20,289,36,33,275.312,30,0,2,1,8
248,0,0,0,1,7,3,2016-07-21,179,51,38,275.312,31,0,0,0,8
249,0,0,1,0,7,0,2016-07-11,289,36,33,275.312,30,0,2,1,32
250,0,0,1,0,7,3,2016-07-14,289,36,33,275.312,30,0,2,1,8
251,0,0,0,0,7,3,2016-07-21,260,50,36,275.312,23,0,4,0,0
252,0,0,1,0,8,3,2016-08-04,289,36,33,265.615,30,0,2,1,8
253,0,0,1,0,8,3,2016-08-11,157,27,29,265.615,22,0,0,0,3
254,0,0,0,1,8,6,2016-08-07,289,36,33,265.615,30,0,2,1,1
255,0,0,1,0,8,0,2016-08-08,228,14,58,265.615,22,0,2,1,8
256,1,0,0,0,8,2,2016-08-10,300,26,43,265.615,25,0,2,1,1
257,1,0,0,0,8,2,2016-08-10,300,26,43,265.615,25,0,2,1,2
258,0,0,0,1,8,3,2016-08-11,260,50,36,265.615,23,0,4,0,4
259,0,0,0,1,8,0,2016-08-08,289,36,33,265.615,30,0,2,1,4
260,0,0,0,1,8,1,2016-08-09,248,25,47,265.615,32,0,2,1,1
261,1,0,0,0,8,2,2016-08-10,268,11,33,265.615,25,1,0,0,8
262,0,0,0,1,8,2,2016-08-10,179,26,30,265.615,19,1,0,0,1
263,1,0,0,0,8,2,2016-08-10,118,13,50,265.615,31,0,1,0,3
264,0,0,0,1,8,6,2016-08-14,248,25,47,265.615,32,0,2,1,2
265,0,0,0,1,8,0,2016-08-15,235,11,37,265.615,29,1,1,1,1
266,0,0,0,1,8,2,2016-08-17,118,13,50,265.615,31,0,1,0,1
267,0,0,1,0,8,2,2016-08-24,235,11,37,265.615,29,1,1,1,8
268,1,0,0,0,8,0,2016-08-08,361,52,28,265.615,27,0,1,4,8
269,1,0,0,0,8,1,2016-08-30,184,42,27,265.615,21,0,0,0,8
270,1,0,0,0,9,0,2016-09-05,179,51,38,294.217,31,0,0,0,8
271,0,0,0,1,9,4,2016-09-09,179,51,38,294.217,31,0,0,0,3
272,0,0,1,0,9,2,2016-09-07,289,36,33,294.217,30,0,2,1,24
273,0,0,0,0,9,3,2016-09-08,235,20,43,294.217,38,0,1,0,0
274,1,0,0,0,9,0,2016-09-12,246,25,41,294.217,23,0,0,0,16
275,0,0,0,1,9,1,2016-09-13,291,31,40,294.217,25,0,1,1,3
276,0,0,0,0,9,1,2016-09-13,231,35,39,294.217,35,0,2,2,0
277,0,0,0,0,9,1,2016-09-13,291,50,32,294.217,23,0,0,0,0
278,1,0,0,0,9,2,2016-09-14,179,51,38,294.217,31,0,0,0,8
279,1,0,0,0,9,2,2016-09-14,246,25,41,294.217,23,0,0,0,32
280,0,0,0,1,9,3,2016-09-15,179,51,38,294.217,31,0,0,0,1
281,0,0,0,1,9,4,2016-09-16,291,31,40,294.217,25,0,1,1,4
282,0,0,0,1,9,4,2016-09-16,260,50,36,294.217,23,0,4,0,4
283,0,0,0,1,9,2,2016-09-14,235,20,43,294.217,38,0,1,0,8
284,0,0,0,1,9,3,2016-09-15,118,13,50,294.217,31,0,1,0,1
285,0,0,0,0,9,3,2016-09-15,235,20,43,294.217,38,0,1,0,0
286,0,0,0,1,9,4,2016-09-16,291,31,40,294.217,25,0,1,1,3
287,1,0,0,0,9,0,2016-09-26,291,31,40,294.217,25,0,1,1,40
288,1,0,0,0,9,0,2016-09-26,179,51,38,294.217,31,0,0,0,8
289,0,0,0,1,10,2,2016-10-05,289,36,33,265.017,30,0,2,1,8
290,0,0,0,1,10,2,2016-10-05,235,11,37,265.017,29,1,1,1,4
291,0,0,0,1,10,2,2016-10-05,289,36,33,265.017,30,0,2,1,8
292,0,0,0,1,10,3,2016-10-06,289,36,33,265.017,30,0,2,1,8
293,0,0,0,0,10,3,2016-10-06,118,13,50,265.017,31,0,1,0,0
294,0,0,0,0,10,3,2016-10-06,248,25,47,265.017,32,0,2,1,0
295,1,0,0,0,10,2,2016-10-12,179,26,30,265.017,19,1,0,0,8
296,1,0,0,0,10,2,2016-10-12,118,10,37,265.017,28,0,0,0,3
297,0,0,0,1,10,2,2016-10-12,369,17,31,265.017,25,0,3,0,8
298,0,0,0,1,10,4,2016-10-14,179,51,38,265.017,31,0,0,0,1
299,1,0,0,0,10,4,2016-10-14,179,26,30,265.017,19,1,0,0,64
300,0,0,0,0,10,4,2016-10-14,235,20,43,265.017,38,0,1,0,0
301,0,0,1,0,10,5,2016-10-15,289,36,33,265.017,30,0,2,1,16
302,0,0,0,1,10,6,2016-10-16,260,50,36,265.017,23,0,4,0,3
303,0,0,0,0,10,6,2016-10-16,235,20,43,265.017,38,0,1,0,0
304,0,0,0,1,10,2,2016-10-19,235,20,43,265.017,38,0,1,0,2
305,0,0,0,1,10,2,2016-10-19,235,20,43,265.017,38,0,1,0,2
306,0,0,0,1,10,3,2016-10-20,118,13,50,265.017,31,0,1,0,1
307,0,0,0,1,10,3,2016-10-20,291,31,40,265.017,25,0,1,1,4
308,0,0,0,1,10,5,2016-10-22,179,26,30,265.017,19,1,0,0,16
309,0,0,0,1,10,5,2016-10-22,118,13,50,265.017,31,0,1,0,1
310,1,0,0,0,10,2,2016-10-26,361,52,28,265.017,27,0,1,4,8
311,0,0,0,0,10,3,2016-10-27,260,50,36,265.017,23,0,4,0,0
312,0,0,0,0,10,3,2016-10-27,291,31,40,265.017,25,0,1,1,0
313,0,0,0,0,10,3,2016-10-27,157,27,29,265.017,22,0,0,0,0
314,1,0,0,0,10,4,2016-10-28,179,26,30,265.017,19,1,0,0,5
315,1,0,0,0,10,4,2016-10-28,179,26,30,265.017,19,1,0,0,5
316,0,0,0,1,10,5,2016-10-29,118,13,50,265.017,31,0,1,0,1
317,1,0,0,0,11,0,2016-11-07,118,10,37,284.031,28,0,0,0,8
318,0,0,0,1,11,0,2016-11-07,248,25,47,284.031,32,0,2,1,2
319,1,0,0,0,11,1,2016-11-08,179,51,38,284.031,31,0,0,0,8
320,0,0,0,1,11,4,2016-11-11,260,50,36,284.031,23,0,4,0,3
321,0,0,0,1,11,0,2016-11-14,291,31,40,284.031,25,0,1,1,1
322,1,0,0,0,11,0,2016-11-14,378,49,36,284.031,21,0,2,4,8
323,1,0,0,0,11,0,2016-11-14,155,12,34,284.031,25,0,2,0,120
324,0,0,0,1,11,0,2016-11-14,235,20,43,284.031,38,0,1,0,8
325,0,0,0,0,11,1,2016-11-15,330,16,28,284.031,25,1,0,0,0
326,0,0,1,0,11,2,2016-11-16,235,11,37,284.031,29,1,1,1,1
327,1,0,0,0,11,2,2016-11-16,118,10,37,284.031,28,0,0,0,3
328,0,0,0,1,11,3,2016-11-17,235,11,37,284.031,29,1,1,1,2
329,0,0,0,1,11,3,2016-11-17,179,51,38,284.031,31,0,0,0,3
330,1,0,0,0,11,4,2016-11-18,246,25,41,284.031,23,0,0,0,8
331,1,0,0,0,11,4,2016-11-18,291,31,40,284.031,25,0,1,1,4
332,1,0,0,0,11,0,2016-11-21,246,25,41,284.031,23,0,0,0,8
333,0,0,0,1,11,1,2016-11-22,179,51,38,284.031,31,0,0,0,1
